Symbol,DateTime,Open,High,Low,Close,Volume,RSI,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,EMA,ADX_14,DMP_14,DMN_14,ATR,RSI_diff,EMA_diff,ATR_diff,Price_diff,Volume_diff,vol_pct_change,close_pct_change,rsi_pct_change,ROC,bb_width_pct,MACD,MACD_signal,StochK,StochD,CCI,OBV,Close_lag_1,Close_lag_3,RSI_lag_1,RSI_lag_3,roll_mean_close_5,roll_std_close_5,roll_max_close_5,roll_min_close_5,RSI_x_Volume,ADX,True_Range,ADX_x_Range,rolling_volatility_10,log_return,atr_norm,vol_norm,roc_norm,MHI
NSE:ABB,2019-01-02 09:15:00+00:00,1032.1,1034.25,1025.3,1033.05,5603,,,,,,,,,,,,,,,,,,,,,,,,,,,5603.0,,,,,,,,,,,,,,,,,,
NSE:ABB,2019-01-02 09:45:00+00:00,1033.05,1033.5,1027.7,1030.55,14054,,,,,,,,,,,,,,,-2.5,8451.0,150.82991254684993,-0.2420018392139789,,,,,,,,,-8451.0,1033.05,,,,,,,,,,5.7999999999999545,,,-0.0024229513695105,,0.4722805103465959,,
NSE:ABB,2019-01-02 10:15:00+00:00,1030.55,1032.9,1029.8,1032.25,2701,,,,,,,,,,,,,,,1.7000000000000457,-11353.0,-80.78127223566244,0.1649604580078678,,,,,,,,,-5750.0,1030.55,,,,,,,,,,3.1000000000001364,,,0.0016482454768933,,0.4687244459495809,,
NSE:ABB,2019-01-02 10:45:00+00:00,1032.5,1032.9,1031.15,1031.25,819,,,,,,,,,,,,,,,-1.0,-1882.0,-69.67789707515735,-0.0968757568418521,,,,,,,,,-6569.0,1032.25,1033.05,,,,,,,,,1.7500000000000002,,,-0.0009692271173088,,0.470425086522401,,
NSE:ABB,2019-01-02 11:15:00+00:00,1031.25,1035.8,1029.75,1035.8,2828,,,,,,,,,,,,,,,4.5499999999999545,2009.0,245.29914529914527,0.4412121212121089,,,,,,,,,-3741.0,1031.25,1030.55,,,1032.58,2.036418424587567,1035.8,1030.55,,,6.0499999999999545,,,0.0044024163409002,,0.4711237659088272,,
NSE:ABB,2019-01-02 11:45:00+00:00,1034.8,1039.7,1034.6,1039.6,5381,,,,,,,,,,,,,,,3.7999999999999545,2553.0,90.27581329561528,0.3668661903842407,,0.634044818740618,,,,,,,1640.0,1035.8,1032.25,,,1033.89,3.777135157761654,1039.6,1030.55,,,5.100000000000136,,,0.003661948777544,,0.4712214481463538,0.3697539361126478,
NSE:ABB,2019-01-02 12:15:00+00:00,1039.6,1039.95,1032.95,1035.85,8866,,,,,,,,,,,,,,,-3.75,3485.0,64.76491358483554,-0.3607156598691818,,0.5142884867303823,,,,,,,-7226.0,1039.6,1031.25,,,1034.9499999999998,3.321708897540355,1039.6,1031.25,,,7.0,,,-0.0036136780754373,,0.4713888008032927,0.3670195674807071,
NSE:ABB,2019-01-02 12:45:00+00:00,1035.85,1038.75,1032.95,1037.35,3647,,,,,,,,,,,,,,,1.5,-5219.0,-58.86532822016692,0.1448086112854074,,0.4940663598934278,,,,,,,-3579.0,1035.85,1035.8,,,1035.97,3.057899605938468,1039.6,1031.25,,,5.7999999999999545,,,0.0014470386472506,,0.4698258850028676,0.3665578403355456,
NSE:ABB,2019-01-02 13:15:00+00:00,1037.35,1037.35,1030.6,1032.25,5786,,,,,,,,,,,,,,,-5.099999999999909,2139.0,58.65094598299974,-0.4916373451583244,,0.0969696969696969,,,,,,,-9365.0,1037.35,1039.6,,,1036.17,2.6815573833126654,1039.6,1032.25,,,6.75,,,-0.0049284985729488,,0.4711471090905891,0.3574910240702129,
NSE:ABB,2019-01-02 13:45:00+00:00,1032.25,1036.8,1030.95,1036.7,4317,,,,,,,,,,,,,,,4.4500000000000455,-1469.0,-25.388869685447634,0.4310971179462441,,0.0868893608804876,,,,,,,-5048.0,1032.25,1035.85,,,1036.35,2.6807181873517845,1039.6,1032.25,,,5.849999999999909,,,0.0043017055628668,,0.4704992460152291,0.3572608620876348,
NSE:ABB,2019-01-02 14:15:00+00:00,1036.7,1036.8,1034.05,1035.75,4209,,,,,,,,,,,,,,,-0.9500000000000456,-108.0,-2.5017373175816537,-0.0916369248577297,,-0.3703347441323499,,,,,,,-9257.0,1036.7,1037.35,,,1035.58,1.9734487578853013,1037.35,1032.25,,,2.75,,0.3340618120754794,-0.0009167893715552,,0.4707436311719821,0.3468211698431577,
NSE:ABB,2019-01-02 14:45:00+00:00,1035.75,1035.75,1029.75,1029.75,8934,,,,,,,,,,,,,,,-6.0,4725.0,112.25944404846756,-0.5792903692976137,,-0.5888883525606902,,,,,,,-18191.0,1035.75,1032.25,,,1034.36,3.2423756722501453,1037.35,1029.75,,,6.0,,0.3782945174398078,-0.0058097476413211,,0.4716114588447136,0.3418309858482702,
NSE:ABB,2019-01-02 15:15:00+00:00,1030.65,1032.9,1028.8,1028.9,5302,,,,,,,,,,,,,,,-0.849999999999909,-3632.0,-40.65368256100291,-0.0825443068705911,,-0.8145756012917356,,,,,,,-23493.0,1029.75,1036.7,,,1032.67,3.487226691799668,1036.7,1028.9,,,4.100000000000136,,0.3738554959113733,-0.0008257839344254,,0.470110851383299,0.3366779210941959,
NSE:ABB,2019-01-03 09:15:00+00:00,1030.65,1039.85,1030.65,1037.6,7799,,,,,,,1034.0464285714286,,,,,,,,8.699999999999818,2497.0,47.09543568464731,0.8455632228593357,,0.5182852991038904,,,,,,,-15694.0,1028.9,1035.75,,,1033.74,4.09411162524909,1037.6,1028.9,,,10.949999999999818,,0.463652006960615,0.0084200836204692,,0.4712113926219026,0.3671108257732618,
NSE:ABB,2019-01-03 09:45:00+00:00,1037.6,1039.95,1037.2,1037.75,11328,56.71706016285246,,,,,,1034.5402380952382,,20.38378036107969,13.70302007208472,5.393293376234162,,0.4938095238096593,,0.1500000000000909,3529.0,45.24939094755738,0.0144564379336964,,0.1012829169480037,,,,,,,-4366.0,1037.6,1029.75,,,1033.95,4.305374548166468,1037.75,1028.9,642490.8575247927,,2.75,,0.4441374788641978,0.000144553930914,0.0141550965996654,0.4713967015725044,0.3575895068244303,22.00144601364701
NSE:ABB,2019-01-03 10:15:00+00:00,1037.75,1039.15,1037.4,1038.2,1774,57.40529131805542,,,,,,1035.0282063492066,,19.625122451067742,13.19301140908964,5.00544659893257,0.6882311552029563,0.4879682539683472,-0.3878467773015916,0.4500000000000455,-9554.0,-84.33968926553672,0.0433630450493938,1.2134464537245648,0.2365435674631953,,,,83.43493114351874,,,-2592.0,1037.75,1028.9,56.71706016285246,,1034.44,4.684202173262772,1038.2,1028.9,101836.98679823033,,1.7500000000000002,,0.4275110020491461,0.0004335364599805,0.0118519500225731,0.4690474796725777,0.3606778819750071,21.87757953080613
